"","m1","m2","sd1","sd2"
"1",-1,4,-3,-3
"2",-1,9,-3,-3
"3",4,9,-3,-3
"4",-1,14,-3,-3
"5",4,14,-3,-3
"6",9,14,-3,-3
"7",-1,19,-3,-3
"8",4,19,-3,-3
"9",9,19,-3,-3
"10",14,19,-3,-3
"11",-1,24,-3,-3
"12",4,24,-3,-3
"13",9,24,-3,-3
"14",14,24,-3,-3
"15",19,24,-3,-3
"16",-1,29,-3,-3
"17",4,29,-3,-3
"18",9,29,-3,-3
"19",14,29,-3,-3
"20",19,29,-3,-3
"21",24,29,-3,-3
"22",-1,4,0,-3
"23",-1,9,0,-3
"24",4,9,0,-3
"25",-1,14,0,-3
"26",4,14,0,-3
"27",9,14,0,-3
"28",-1,19,0,-3
"29",4,19,0,-3
"30",9,19,0,-3
"31",14,19,0,-3
"32",-1,24,0,-3
"33",4,24,0,-3
"34",9,24,0,-3
"35",14,24,0,-3
"36",19,24,0,-3
"37",-1,29,0,-3
"38",4,29,0,-3
"39",9,29,0,-3
"40",14,29,0,-3
"41",19,29,0,-3
"42",24,29,0,-3
"43",-1,4,3,-3
"44",-1,9,3,-3
"45",4,9,3,-3
"46",-1,14,3,-3
"47",4,14,3,-3
"48",9,14,3,-3
"49",-1,19,3,-3
"50",4,19,3,-3
"51",9,19,3,-3
"52",14,19,3,-3
"53",-1,24,3,-3
"54",4,24,3,-3
"55",9,24,3,-3
"56",14,24,3,-3
"57",19,24,3,-3
"58",-1,29,3,-3
"59",4,29,3,-3
"60",9,29,3,-3
"61",14,29,3,-3
"62",19,29,3,-3
"63",24,29,3,-3
"64",-1,4,6,-3
"65",-1,9,6,-3
"66",4,9,6,-3
"67",-1,14,6,-3
"68",4,14,6,-3
"69",9,14,6,-3
"70",-1,19,6,-3
"71",4,19,6,-3
"72",9,19,6,-3
"73",14,19,6,-3
"74",-1,24,6,-3
"75",4,24,6,-3
"76",9,24,6,-3
"77",14,24,6,-3
"78",19,24,6,-3
"79",-1,29,6,-3
"80",4,29,6,-3
"81",9,29,6,-3
"82",14,29,6,-3
"83",19,29,6,-3
"84",24,29,6,-3
"85",-1,4,9,-3
"86",-1,9,9,-3
"87",4,9,9,-3
"88",-1,14,9,-3
"89",4,14,9,-3
"90",9,14,9,-3
"91",-1,19,9,-3
"92",4,19,9,-3
"93",9,19,9,-3
"94",14,19,9,-3
"95",-1,24,9,-3
"96",4,24,9,-3
"97",9,24,9,-3
"98",14,24,9,-3
"99",19,24,9,-3
"100",-1,29,9,-3
"101",4,29,9,-3
"102",9,29,9,-3
"103",14,29,9,-3
"104",19,29,9,-3
"105",24,29,9,-3
"106",-1,4,12,-3
"107",-1,9,12,-3
"108",4,9,12,-3
"109",-1,14,12,-3
"110",4,14,12,-3
"111",9,14,12,-3
"112",-1,19,12,-3
"113",4,19,12,-3
"114",9,19,12,-3
"115",14,19,12,-3
"116",-1,24,12,-3
"117",4,24,12,-3
"118",9,24,12,-3
"119",14,24,12,-3
"120",19,24,12,-3
"121",-1,29,12,-3
"122",4,29,12,-3
"123",9,29,12,-3
"124",14,29,12,-3
"125",19,29,12,-3
"126",24,29,12,-3
"127",-1,4,15,-3
"128",-1,9,15,-3
"129",4,9,15,-3
"130",-1,14,15,-3
"131",4,14,15,-3
"132",9,14,15,-3
"133",-1,19,15,-3
"134",4,19,15,-3
"135",9,19,15,-3
"136",14,19,15,-3
"137",-1,24,15,-3
"138",4,24,15,-3
"139",9,24,15,-3
"140",14,24,15,-3
"141",19,24,15,-3
"142",-1,29,15,-3
"143",4,29,15,-3
"144",9,29,15,-3
"145",14,29,15,-3
"146",19,29,15,-3
"147",24,29,15,-3
"148",-1,4,18,-3
"149",-1,9,18,-3
"150",4,9,18,-3
"151",-1,14,18,-3
"152",4,14,18,-3
"153",9,14,18,-3
"154",-1,19,18,-3
"155",4,19,18,-3
"156",9,19,18,-3
"157",14,19,18,-3
"158",-1,24,18,-3
"159",4,24,18,-3
"160",9,24,18,-3
"161",14,24,18,-3
"162",19,24,18,-3
"163",-1,29,18,-3
"164",4,29,18,-3
"165",9,29,18,-3
"166",14,29,18,-3
"167",19,29,18,-3
"168",24,29,18,-3
"169",-1,4,21,-3
"170",-1,9,21,-3
"171",4,9,21,-3
"172",-1,14,21,-3
"173",4,14,21,-3
"174",9,14,21,-3
"175",-1,19,21,-3
"176",4,19,21,-3
"177",9,19,21,-3
"178",14,19,21,-3
"179",-1,24,21,-3
"180",4,24,21,-3
"181",9,24,21,-3
"182",14,24,21,-3
"183",19,24,21,-3
"184",-1,29,21,-3
"185",4,29,21,-3
"186",9,29,21,-3
"187",14,29,21,-3
"188",19,29,21,-3
"189",24,29,21,-3
"190",-1,4,24,-3
"191",-1,9,24,-3
"192",4,9,24,-3
"193",-1,14,24,-3
"194",4,14,24,-3
"195",9,14,24,-3
"196",-1,19,24,-3
"197",4,19,24,-3
"198",9,19,24,-3
"199",14,19,24,-3
"200",-1,24,24,-3
"201",4,24,24,-3
"202",9,24,24,-3
"203",14,24,24,-3
"204",19,24,24,-3
"205",-1,29,24,-3
"206",4,29,24,-3
"207",9,29,24,-3
"208",14,29,24,-3
"209",19,29,24,-3
"210",24,29,24,-3
"211",-1,4,27,-3
"212",-1,9,27,-3
"213",4,9,27,-3
"214",-1,14,27,-3
"215",4,14,27,-3
"216",9,14,27,-3
"217",-1,19,27,-3
"218",4,19,27,-3
"219",9,19,27,-3
"220",14,19,27,-3
"221",-1,24,27,-3
"222",4,24,27,-3
"223",9,24,27,-3
"224",14,24,27,-3
"225",19,24,27,-3
"226",-1,29,27,-3
"227",4,29,27,-3
"228",9,29,27,-3
"229",14,29,27,-3
"230",19,29,27,-3
"231",24,29,27,-3
"232",-1,4,30,-3
"233",-1,9,30,-3
"234",4,9,30,-3
"235",-1,14,30,-3
"236",4,14,30,-3
"237",9,14,30,-3
"238",-1,19,30,-3
"239",4,19,30,-3
"240",9,19,30,-3
"241",14,19,30,-3
"242",-1,24,30,-3
"243",4,24,30,-3
"244",9,24,30,-3
"245",14,24,30,-3
"246",19,24,30,-3
"247",-1,29,30,-3
"248",4,29,30,-3
"249",9,29,30,-3
"250",14,29,30,-3
"251",19,29,30,-3
"252",24,29,30,-3
"253",-1,4,-3,0
"254",-1,9,-3,0
"255",4,9,-3,0
"256",-1,14,-3,0
"257",4,14,-3,0
"258",9,14,-3,0
"259",-1,19,-3,0
"260",4,19,-3,0
"261",9,19,-3,0
"262",14,19,-3,0
"263",-1,24,-3,0
"264",4,24,-3,0
"265",9,24,-3,0
"266",14,24,-3,0
"267",19,24,-3,0
"268",-1,29,-3,0
"269",4,29,-3,0
"270",9,29,-3,0
"271",14,29,-3,0
"272",19,29,-3,0
"273",24,29,-3,0
"274",-1,4,0,0
"275",-1,9,0,0
"276",4,9,0,0
"277",-1,14,0,0
"278",4,14,0,0
"279",9,14,0,0
"280",-1,19,0,0
"281",4,19,0,0
"282",9,19,0,0
"283",14,19,0,0
"284",-1,24,0,0
"285",4,24,0,0
"286",9,24,0,0
"287",14,24,0,0
"288",19,24,0,0
"289",-1,29,0,0
"290",4,29,0,0
"291",9,29,0,0
"292",14,29,0,0
"293",19,29,0,0
"294",24,29,0,0
"295",-1,4,3,0
"296",-1,9,3,0
"297",4,9,3,0
"298",-1,14,3,0
"299",4,14,3,0
"300",9,14,3,0
"301",-1,19,3,0
"302",4,19,3,0
"303",9,19,3,0
"304",14,19,3,0
"305",-1,24,3,0
"306",4,24,3,0
"307",9,24,3,0
"308",14,24,3,0
"309",19,24,3,0
"310",-1,29,3,0
"311",4,29,3,0
"312",9,29,3,0
"313",14,29,3,0
"314",19,29,3,0
"315",24,29,3,0
"316",-1,4,6,0
"317",-1,9,6,0
"318",4,9,6,0
"319",-1,14,6,0
"320",4,14,6,0
"321",9,14,6,0
"322",-1,19,6,0
"323",4,19,6,0
"324",9,19,6,0
"325",14,19,6,0
"326",-1,24,6,0
"327",4,24,6,0
"328",9,24,6,0
"329",14,24,6,0
"330",19,24,6,0
"331",-1,29,6,0
"332",4,29,6,0
"333",9,29,6,0
"334",14,29,6,0
"335",19,29,6,0
"336",24,29,6,0
"337",-1,4,9,0
"338",-1,9,9,0
"339",4,9,9,0
"340",-1,14,9,0
"341",4,14,9,0
"342",9,14,9,0
"343",-1,19,9,0
"344",4,19,9,0
"345",9,19,9,0
"346",14,19,9,0
"347",-1,24,9,0
"348",4,24,9,0
"349",9,24,9,0
"350",14,24,9,0
"351",19,24,9,0
"352",-1,29,9,0
"353",4,29,9,0
"354",9,29,9,0
"355",14,29,9,0
"356",19,29,9,0
"357",24,29,9,0
"358",-1,4,12,0
"359",-1,9,12,0
"360",4,9,12,0
"361",-1,14,12,0
"362",4,14,12,0
"363",9,14,12,0
"364",-1,19,12,0
"365",4,19,12,0
"366",9,19,12,0
"367",14,19,12,0
"368",-1,24,12,0
"369",4,24,12,0
"370",9,24,12,0
"371",14,24,12,0
"372",19,24,12,0
"373",-1,29,12,0
"374",4,29,12,0
"375",9,29,12,0
"376",14,29,12,0
"377",19,29,12,0
"378",24,29,12,0
"379",-1,4,15,0
"380",-1,9,15,0
"381",4,9,15,0
"382",-1,14,15,0
"383",4,14,15,0
"384",9,14,15,0
"385",-1,19,15,0
"386",4,19,15,0
"387",9,19,15,0
"388",14,19,15,0
"389",-1,24,15,0
"390",4,24,15,0
"391",9,24,15,0
"392",14,24,15,0
"393",19,24,15,0
"394",-1,29,15,0
"395",4,29,15,0
"396",9,29,15,0
"397",14,29,15,0
"398",19,29,15,0
"399",24,29,15,0
"400",-1,4,18,0
"401",-1,9,18,0
"402",4,9,18,0
"403",-1,14,18,0
"404",4,14,18,0
"405",9,14,18,0
"406",-1,19,18,0
"407",4,19,18,0
"408",9,19,18,0
"409",14,19,18,0
"410",-1,24,18,0
"411",4,24,18,0
"412",9,24,18,0
"413",14,24,18,0
"414",19,24,18,0
