"","m1","m2","sd1","sd2"
"1",0,0,5,10
"2",0.25,0,5,10
"3",0.5,0,5,10
"4",0.75,0,5,10
"5",1,0,5,10
"6",1.25,0,5,10
"7",1.5,0,5,10
"8",1.75,0,5,10
"9",2,0,5,10
"10",2.25,0,5,10
"11",2.5,0,5,10
"12",2.75,0,5,10
"13",3,0,5,10
"14",3.25,0,5,10
"15",3.5,0,5,10
"16",3.75,0,5,10
"17",4,0,5,10
"18",4.25,0,5,10
"19",4.5,0,5,10
"20",4.75,0,5,10
"21",5,0,5,10
"22",5.25,0,5,10
"23",5.5,0,5,10
"24",5.75,0,5,10
"25",6,0,5,10
"26",6.25,0,5,10
"27",6.5,0,5,10
"28",6.75,0,5,10
"29",7,0,5,10
"30",7.25,0,5,10
"31",7.5,0,5,10
"32",7.75,0,5,10
"33",8,0,5,10
"34",8.25,0,5,10
"35",8.5,0,5,10
"36",8.75,0,5,10
"37",9,0,5,10
"38",9.25,0,5,10
"39",9.5,0,5,10
"40",9.75,0,5,10
"41",10,0,5,10
"42",10.25,0,5,10
"43",10.5,0,5,10
"44",10.75,0,5,10
"45",11,0,5,10
"46",11.25,0,5,10
"47",11.5,0,5,10
"48",11.75,0,5,10
"49",12,0,5,10
"50",12.25,0,5,10
"51",12.5,0,5,10
"52",12.75,0,5,10
"53",13,0,5,10
"54",13.25,0,5,10
"55",13.5,0,5,10
"56",13.75,0,5,10
"57",14,0,5,10
"58",14.25,0,5,10
"59",14.5,0,5,10
"60",14.75,0,5,10
"61",15,0,5,10
"62",0,0.25,5,10
"63",0.25,0.25,5,10
"64",0.5,0.25,5,10
"65",0.75,0.25,5,10
"66",1,0.25,5,10
"67",1.25,0.25,5,10
"68",1.5,0.25,5,10
"69",1.75,0.25,5,10
"70",2,0.25,5,10
"71",2.25,0.25,5,10
"72",2.5,0.25,5,10
"73",2.75,0.25,5,10
"74",3,0.25,5,10
"75",3.25,0.25,5,10
"76",3.5,0.25,5,10
"77",3.75,0.25,5,10
"78",4,0.25,5,10
"79",4.25,0.25,5,10
"80",4.5,0.25,5,10
"81",4.75,0.25,5,10
"82",5,0.25,5,10
"83",5.25,0.25,5,10
"84",5.5,0.25,5,10
"85",5.75,0.25,5,10
"86",6,0.25,5,10
"87",6.25,0.25,5,10
"88",6.5,0.25,5,10
"89",6.75,0.25,5,10
"90",7,0.25,5,10
"91",7.25,0.25,5,10
"92",7.5,0.25,5,10
"93",7.75,0.25,5,10
"94",8,0.25,5,10
"95",8.25,0.25,5,10
"96",8.5,0.25,5,10
"97",8.75,0.25,5,10
"98",9,0.25,5,10
"99",9.25,0.25,5,10
"100",9.5,0.25,5,10
"101",9.75,0.25,5,10
"102",10,0.25,5,10
"103",10.25,0.25,5,10
"104",10.5,0.25,5,10
"105",10.75,0.25,5,10
"106",11,0.25,5,10
"107",11.25,0.25,5,10
"108",11.5,0.25,5,10
"109",11.75,0.25,5,10
"110",12,0.25,5,10
"111",12.25,0.25,5,10
"112",12.5,0.25,5,10
"113",12.75,0.25,5,10
"114",13,0.25,5,10
"115",13.25,0.25,5,10
"116",13.5,0.25,5,10
"117",13.75,0.25,5,10
"118",14,0.25,5,10
"119",14.25,0.25,5,10
"120",14.5,0.25,5,10
"121",14.75,0.25,5,10
"122",15,0.25,5,10
"123",0,0.5,5,10
"124",0.25,0.5,5,10
"125",0.5,0.5,5,10
"126",0.75,0.5,5,10
"127",1,0.5,5,10
"128",1.25,0.5,5,10
"129",1.5,0.5,5,10
"130",1.75,0.5,5,10
