"","m1","m2","sd1","sd2"
"1",-3,-2,-3,-3
"2",-3,-1,-3,-3
"3",-2,-1,-3,-3
"4",-3,0,-3,-3
"5",-2,0,-3,-3
"6",-1,0,-3,-3
"7",-3,1,-3,-3
"8",-2,1,-3,-3
"9",-1,1,-3,-3
"10",0,1,-3,-3
"11",-3,2,-3,-3
"12",-2,2,-3,-3
"13",-1,2,-3,-3
"14",0,2,-3,-3
"15",1,2,-3,-3
"16",-3,3,-3,-3
"17",-2,3,-3,-3
"18",-1,3,-3,-3
"19",0,3,-3,-3
"20",1,3,-3,-3
"21",2,3,-3,-3
"22",-3,4,-3,-3
"23",-2,4,-3,-3
"24",-1,4,-3,-3
"25",0,4,-3,-3
"26",1,4,-3,-3
"27",2,4,-3,-3
"28",3,4,-3,-3
"29",-3,5,-3,-3
"30",-2,5,-3,-3
"31",-1,5,-3,-3
"32",0,5,-3,-3
"33",1,5,-3,-3
"34",2,5,-3,-3
"35",3,5,-3,-3
"36",4,5,-3,-3
"37",-3,6,-3,-3
"38",-2,6,-3,-3
"39",-1,6,-3,-3
"40",0,6,-3,-3
"41",1,6,-3,-3
"42",2,6,-3,-3
"43",3,6,-3,-3
"44",4,6,-3,-3
"45",5,6,-3,-3
"46",-3,-2,-2.5,-3
"47",-3,-1,-2.5,-3
"48",-2,-1,-2.5,-3
"49",-3,0,-2.5,-3
"50",-2,0,-2.5,-3
"51",-1,0,-2.5,-3
"52",-3,1,-2.5,-3
"53",-2,1,-2.5,-3
"54",-1,1,-2.5,-3
"55",0,1,-2.5,-3
"56",-3,2,-2.5,-3
"57",-2,2,-2.5,-3
"58",-1,2,-2.5,-3
"59",0,2,-2.5,-3
"60",1,2,-2.5,-3
"61",-3,3,-2.5,-3
"62",-2,3,-2.5,-3
"63",-1,3,-2.5,-3
"64",0,3,-2.5,-3
"65",1,3,-2.5,-3
"66",2,3,-2.5,-3
"67",-3,4,-2.5,-3
"68",-2,4,-2.5,-3
"69",-1,4,-2.5,-3
"70",0,4,-2.5,-3
"71",1,4,-2.5,-3
"72",2,4,-2.5,-3
"73",3,4,-2.5,-3
"74",-3,5,-2.5,-3
"75",-2,5,-2.5,-3
"76",-1,5,-2.5,-3
"77",0,5,-2.5,-3
"78",1,5,-2.5,-3
"79",2,5,-2.5,-3
"80",3,5,-2.5,-3
"81",4,5,-2.5,-3
"82",-3,6,-2.5,-3
"83",-2,6,-2.5,-3
"84",-1,6,-2.5,-3
"85",0,6,-2.5,-3
"86",1,6,-2.5,-3
"87",2,6,-2.5,-3
"88",3,6,-2.5,-3
"89",4,6,-2.5,-3
"90",5,6,-2.5,-3
"91",-3,-2,-2,-3
"92",-3,-1,-2,-3
"93",-2,-1,-2,-3
"94",-3,0,-2,-3
"95",-2,0,-2,-3
"96",-1,0,-2,-3
"97",-3,1,-2,-3
"98",-2,1,-2,-3
"99",-1,1,-2,-3
"100",0,1,-2,-3
"101",-3,2,-2,-3
"102",-2,2,-2,-3
"103",-1,2,-2,-3
"104",0,2,-2,-3
"105",1,2,-2,-3
"106",-3,3,-2,-3
"107",-2,3,-2,-3
"108",-1,3,-2,-3
"109",0,3,-2,-3
"110",1,3,-2,-3
"111",2,3,-2,-3
"112",-3,4,-2,-3
